W_PH_B_1_001 are
W_PR_V_5_014 bloodcurdling
W_PR_V_5_015 eye-catching
W_PR_V_6_001 cross-examine
W_PR_V_6_002 foresee
W_PR_V_6_003 outdo
W_PR_V_6_004 overcharge
W_PR_V_6_005 underestimate
W_PR_V_6_006 babysit
W_PR_V_6_007 blackmail
W_PR_V_6_008 checkmate
W_PR_V_6_009 dovetail
W_PR_V_6_010 eavesdrop
W_PR_V_6_011 handwrite
W_PR_V_6_012 kidnap
W_PR_V_6_013 sidestep
W_PR_V_6_014 sightsee
W_PR_V_6_015 welcome
W_PR_V_7_001 labor union president
W_PR_V_7_002 post office box
W_PR_V_7_003 decision-making process
W_PR_V_7_004 market closing time
W_PR_V_7_005 concert music stand
W_PR_V_7_006 life insurance policy
W_PR_V_7_007 labor union scandals committee
W_PR_V_7_008 education system study mission
W_PR_V_7_009 law school requirement changes
W_PR_V_7_010 jazz band concert location
W_PR_V_8_001 What does she teach at her university
W_PR_V_8_002 She's a French teacher
W_PR_V_8_003 Is she an American teacher
W_PR_V_8_004 She's a French teacher
W_PR_V_8_005 They live in the white house
W_PR_V_8_006 They live in the White House
